주차장코드,주차장명,주소2,주차장 종류명,"토요일 유,무료 구분명","공휴일 유,무료 구분명"
1515732,송림 기사식당길 공영주차장(구),서울특별시 광진구 자양동 794-0,노상 주차장,무료,유료
1515919,신성시장길공영노상주차장(구),서울특별시 광진구 중곡동 88-21,노상 주차장,무료,무료
1515928,송림 기사식당길 공영주차장(구),서울특별시 광진구 자양동 794-0,노상 주차장,무료,유료
1521355,천호2동제2(구),서울특별시 강동구 천호동 431-2,노상 주차장,무료,무료
1521439,공유) 주양쇼핑옆 주차장(구),서울특별시 강동구 명일동 47-21,노상 주차장,무료,무료
1521821,공유) 주양쇼핑앞 주차장(구),서울특별시 강동구 명일동 48-26 ,노상 주차장,무료,무료
1521848,공유) 15-가600구간(구),서울특별시 강동구 성내동 583-0,노상 주차장,무료,무료
1522168,주양쇼핑앞(구),서울특별시 강동구 명일동 51-1,노상 주차장,무료,무료
1522176,주양쇼핑옆(구),서울특별시 강동구 명일동 47-21,노상 주차장,무료,무료
1524246,덕성엔앰피(구),서울특별시 금천구 가산동 345-15,노상 주차장,유료,유료
1524605,두산공원A~B(구),서울특별시 금천구 독산동 298-1,노상 주차장,유료,유료
1524629,웅진코웨이~sk트윈타워(구),서울특별시 금천구 가산동 345-2,노상 주차장,유료,유료
1524685,덕성엔앰피(구),서울특별시 금천구 가산동 345-15,노상 주차장,유료,유료
1524706,웅진코웨이~sk트윈타워(구),서울특별시 금천구 가산동 345-2,노상 주차장,유료,유료
1524717,웅진코웨이~sk트윈타워(구),서울특별시 금천구 가산동 345-2,노상 주차장,유료,유료
1525109,BYC(구),서울특별시 금천구 가산동 371-57,노상 주차장,유료,유료
1525111,덕성엔앰피(구),서울특별시 금천구 가산동 345-15,노상 주차장,유료,유료
1525252,웅진코웨이~sk트윈타워(구),서울특별시 금천구 가산동 345-2,노상 주차장,유료,유료
1525433,웅진코웨이~sk트윈타워(구),서울특별시 금천구 가산동 345-2,노상 주차장,유료,유료
1525548,아톰(구),서울특별시 금천구 가산동 345-48,노상 주차장,유료,유료
1525554,웅진코웨이~sk트윈타워(구),서울특별시 금천구 가산동 345-2,노상 주차장,유료,유료
1525568,요업기술원-LG전자뒤(구),서울특별시 금천구 가산동 237-101,노상 주차장,유료,유료
1525587,웅진코웨이~sk트윈타워(구),서울특별시 금천구 가산동 345-2,노상 주차장,유료,유료
1525590,가산중앞(구),서울특별시 금천구 독산동 300-26,노상 주차장,유료,유료
1525595,삼환아파트(구),서울특별시 금천구 독산동 1004-6,노상 주차장,유료,유료
1525609,신천지(구),서울특별시 금천구 독산동 152-1,노상 주차장,유료,유료
1525618,가산중뒤(구),서울특별시 금천구 독산동 300-21,노상 주차장,유료,유료
1525649,덕성엔앰피(구),서울특별시 금천구 가산동 345-15,노상 주차장,유료,유료
1525651,웅진코웨이~sk트윈타워(구),서울특별시 금천구 가산동 345-2,노상 주차장,유료,유료
1525654,기륭전자(구),서울특별시 금천구 가산동 219-7,노상 주차장,유료,유료
1525656,덕성엔앰피(구),서울특별시 금천구 가산동 345-15,노상 주차장,유료,유료
1526023,범일운수~신세계물류센터(구),서울특별시 금천구 독산동 1001-2,노상 주차장,유료,유료
1526436,웅진코웨이~sk트윈타워(구),서울특별시 금천구 가산동 345-2,노상 주차장,유료,유료
1526582,웅진코웨이~sk트윈타워(구),서울특별시 금천구 가산동 345-2,노상 주차장,유료,유료
1526584,만승뒤(협동봉제조합)(구),서울특별시 금천구 가산동 139-31,노상 주차장,무료,무료
1526724,웅진코웨이~sk트윈타워(구),서울특별시 금천구 가산동 345-2,노상 주차장,유료,유료
1526725,가산디지털환승(구),서울특별시 금천구 가산동 35-2,노상 주차장,유료,유료
1526726,우리은행(구),서울특별시 금천구 가산동 140-41,노상 주차장,무료,무료
1526731,세일철강~LG전자연구소(구),서울특별시 금천구 가산동 319-15,노상 주차장,유료,유료
1526741,두산공원A~B(구),서울특별시 금천구 가산동 153-18,노상 주차장,유료,유료
1526743,LG텔레콤(구),서울특별시 금천구 가산동 60-36,노상 주차장,무료,무료
