"전국","소주(외식)",112.65,114.40,114.86,115.23,115.07,115.07
"전국","맥주(외식)",112.63,113.87,114.41,114.70,114.65,114.65
"전국","구내식당식사비",112.85,114.37,116.02,116.50,116.50,117.26
"전국","식품 이외",109.99,109.82,110.15,110.60,110.46,109.87
"전국","담배",100.00,100.00,100.00,100.00,100.00,100.00
"전국","남자하의",110.60,110.60,110.60,120.57,120.57,120.57
"전국","남자내의",107.22,107.50,108.11,108.03,108.19,108.05
"전국","여자하의",108.83,108.83,108.83,115.26,115.26,115.26
"전국","여자내의",105.81,105.93,106.00,106.23,106.53,106.56
"전국","티셔츠",113.03,113.03,113.03,122.79,122.79,122.79
"전국","유아동복",109.97,109.97,109.97,115.84,115.84,115.84
"전국","양말",102.97,103.58,101.91,102.14,102.20,102.25
"전국","운동화",104.20,107.80,107.80,107.80,107.80,107.80
"전국","상수도료",109.50,109.54,109.36,109.36,109.36,109.52
"전국","하수도료",110.93,110.15,110.15,110.15,110.04,110.44
"전국","공동주택관리비",117.46,114.82,115.25,115.67,116.21,116.04
"전국","쓰레기봉투료",104.16,104.16,104.16,104.16,104.16,104.16
"전국","전기료",136.48,136.48,136.48,140.11,143.52,127.46
"전국","도시가스",129.00,129.00,129.00,132.25,135.51,135.87
"전국","가전제품렌탈비",98.63,99.89,100.58,101.18,101.18,101.18
"전국","부엌용용구",113.98,114.48,113.58,114.14,115.18,115.57
"전국","세탁세제",118.17,118.65,119.60,122.85,119.04,120.94
"전국","섬유유연제",117.65,118.92,118.99,121.26,118.32,117.42
"전국","부엌용세제",113.21,114.51,114.45,114.83,115.15,115.36
"전국","소염진통제",110.24,110.41,110.85,111.04,111.46,111.69
"전국","조제약",97.55,97.55,97.39,97.34,97.30,97.30
"전국","건강기능식품",102.36,102.36,95.78,95.78,98.51,98.51
"전국","병원약품",96.99,96.99,96.86,96.77,96.74,96.73
"전국","생리대",114.55,117.83,116.11,116.96,117.79,117.52
"전국","마스크",71.04,70.93,70.54,70.64,70.40,70.35
"전국","외래진료비",106.11,106.11,106.11,106.11,106.11,106.11
"전국","한방진료비",109.28,109.28,109.28,109.28,109.28,109.28
"전국","약국조제료",110.91,110.91,110.91,110.91,110.91,110.91
"전국","치과진료비",106.01,106.01,106.01,106.01,106.01,106.01
"전국","휘발유",113.83,114.71,118.23,117.87,113.88,113.83
"전국","경유",134.22,128.69,128.43,123.99,116.90,116.56
"전국","도로통행료",98.36,98.36,98.36,98.36,98.36,98.36
"전국","도시철도료",100.00,100.00,100.00,100.00,100.00,100.00
"전국","시내버스료",100.56,100.56,100.56,100.56,100.56,100.56
"전국","택시료",107.84,107.84,107.84,107.84,110.44,118.84
"전국","택배이용료",111.60,111.97,112.22,112.22,112.22,112.43
"전국","휴대전화료",101.80,101.75,101.74,101.74,101.76,101.76
"전국","인터넷이용료",100.00,100.33,100.33,100.33,100.33,100.33
"전국","장난감",100.34,100.71,101.25,101.22,101.23,101.17
"전국","반려동물용품",113.72,115.90,114.66,113.96,113.56,115.95
"전국","영화관람료",128.81,128.81,128.81,128.81,128.81,128.81
"전국","온라인콘텐츠이용료",104.96,104.96,104.96,104.96,104.96,104.96
"전국","방송수신료",99.97,99.97,100.91,100.91,100.91,100.91
"전국","유치원납입금",73.88,69.85,69.62,69.64,69.64,68.57
"전국","전문대학납입금",100.70,101.33,101.33,101.33,101.33,101.33
"전국","사립대학교납입금",99.12,99.27,99.27,99.27,99.27,99.27
"전국","초등학생학원비",104.85,105.42,105.60,105.71,105.71,105.78
"전국","중학생학원비",104.98,105.52,106.00,106.27,106.27,106.33
"전국","고등학생학원비",104.53,104.94,105.30,105.32,105.33,105.34
"전국","가정학습지",106.08,106.08,106.08,106.08,106.08,106.08
"전국","목욕료",118.69,121.52,122.45,123.59,123.93,124.18
"전국","이발료",109.25,110.20,110.91,110.95,111.15,111.59
"전국","미용료",109.68,110.54,111.30,111.63,112.09,112.30
"전국","치약",98.80,105.51,106.47,104.56,108.13,105.61
"전국","샴푸",119.13,130.29,125.15,122.09,125.95,125.39
"전국","화장지",120.68,120.11,120.24,121.02,119.44,120.14
"전국","기초화장품",107.14,106.74,106.94,106.94,106.30,110.55
"전국","보험서비스료",135.80,135.80,142.36,142.36,142.36,142.36
"전국","자동차보험료",99.07,97.06,97.06,97.06,97.06,97.06
"전국","전월세",103.90,103.85,103.82,103.76,103.69,103.64
"전국","생활물가 이외",109.51,109.82,110.14,110.40,110.42,110.71
"전국","전·월세포함 생활물가지수",110.89,111.00,111.18,111.56,111.54,111.50
